epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,439.469,0.42737,0.30304,0.90815,0.33142,0.33333,0.36396,0.31615,0.55527,4.603,0.96937,0.000198202,0.000198202,0.000198202
89,446.04,0.4389,0.31888,0.9214,0.33154,0.33333,0.35801,0.31133,0.55582,4.62317,0.96666,0.000184055,0.000184055,0.000184055
90,450.393,0.42621,0.29001,0.87527,0.33161,0.33333,0.35853,0.3135,0.55459,4.6533,0.9601,0.000169908,0.000169908,0.000169908
91,461.758,0.367,0.25224,0.83331,0.33162,0.33333,0.35145,0.30737,0.5535,4.62599,0.95901,0.000155761,0.000155761,0.000155761
92,466.834,0.35405,0.2512,0.8695,0.33151,0.33333,0.34679,0.29978,0.55892,4.57742,0.96093,0.000141614,0.000141614,0.000141614
93,473.117,0.33922,0.2643,0.85327,0.33145,0.33333,0.34721,0.30245,0.55681,4.57039,0.96294,0.000127467,0.000127467,0.000127467
94,477.394,0.34494,0.25385,0.83089,0.33134,0.33333,0.3421,0.29525,0.5433,4.58449,0.9539,0.00011332,0.00011332,0.00011332
95,481.596,0.37142,0.25989,0.84501,0.33139,0.33333,0.34664,0.30133,0.54378,4.61259,0.95023,9.91726e-05,9.91726e-05,9.91726e-05
96,486.764,0.35988,0.23656,0.83472,0.3314,0.33333,0.34199,0.30098,0.53807,4.61537,0.95193,8.50255e-05,8.50255e-05,8.50255e-05
97,491.507,0.33691,0.24564,0.83476,0.33144,0.33333,0.34785,0.30502,0.53604,4.61384,0.95326,7.08784e-05,7.08784e-05,7.08784e-05
98,495.65,0.32543,0.23276,0.84134,0.33153,0.33333,0.34778,0.3036,0.54264,4.62375,0.95863,5.67313e-05,5.67313e-05,5.67313e-05
99,499.855,0.35277,0.2518,0.85619,0.33156,0.33333,0.34836,0.29922,0.54311,4.64146,0.95784,4.25842e-05,4.25842e-05,4.25842e-05
100,505.071,0.34456,0.2384,0.83865,0.33158,0.33333,0.34823,0.29857,0.54153,4.64227,0.95504,2.84371e-05,2.84371e-05,2.84371e-05
